record_id,title,abstract,authors,year,journal,doi,url,publication_type,keywords,inclusion,rationale,evidence,exclusion_reason,overall_confidence,needs_human_review,source_record_id,apparent_duplicate
RIS_0001,Addressing Inequities in Doctoral Nursing Education: A Scoping Review,"AimThe purpose of this scoping review is to map and summarise the current peer‐reviewed literature on inequities in doctoral nursing education, with a specific focus on populations affected, barriers, facilitators and strategies to support equity in doctoral nursing education.DesignThis scoping review was guided by the Preferred Reporting Items for Systematic Reviews and Meta‐Analyses extension for Scoping Reviews (PRISMA‐ScR).MethodsA comprehensive search for empirical evidence was completed using four databases: CINAHL, Scopus, ERIC and Google Scholar. A systematic screening process was applied, and data were extracted and charted guided by the Population, Concept, Context (PCC) framework.Data SourcesDatabases were searched for peer‐reviewed articles published between 2000 and 2025.ResultsA total of 13 studies met the inclusion criteria. Most studies focused on racial/ethnic minoritized populations, and one focused on first‐generation doctoral students. Common barriers included experiences of microaggression, systemic racism, lack of funding and feelings of isolation. Common facilitators were faculty mentorship, financial support, peer networks and targeted recruitment programs.ConclusionInequities remain in doctoral nursing education, particularly for racial/ethnic minoritized populations. Although some effective interventions were identified, significant gaps exist in understanding how to support diverse doctoral nursing students, especially for those with intersecting identities.Implications for the ProfessionAddressing inequities in doctoral nursing education can enhance the diversity of the nursing workforce and faculty, promote inclusive academic environments and contribute to health equity.ImpactPersistent inequities in access and experience among underrepresented groups in doctoral nursing education.Main findings: Key structural and social barriers persist, though several promising strategies have emerged.Impact area: Academic institutions, doctoral program designers and nurse leaders.This study adheres to the PRISMA‐ScR reporting guidelines. This study did not involve patients or the public in its design, conduct or reporting.","Timmons, Patricia; Deshler, Sarah; McGarrity‐Yoder, Maureen E.",2026,Journal of Advanced Nursing,https://doi.org/10.1111/jan.70423,https://www.proquest.com/docview/3328301882?accountid=9902&bdid=150318&_bd=lkJjUJw9MHMPsbu3hyjjw5iLJ60%3D,JOUR,,No,Review article rather than an eligible primary impact study.,The abstract describes a review of existing literature.,Ineligible study design,95,No,,No
RIS_0002,Can Grants Affect Student Performance? Evidence from Five Italian Universities,"This paper assesses the effect of need-based grants on the performance of university students in Italy. We performed a series of between-universities and within-universities propensity score matching analyses to evaluate the effect of grants on several student performance indicators, such as dropout rate, first year credits and efficiency of study. Our findings suggest that financial aid has a positive, substantial and statistically robust effect on university students' performance and on if and when they complete their undergraduate degree courses. The positive impact is heterogeneous across universities, while few differences were detected for subgroups of students. Reinforcing financial aid policies can simultaneously help disadvantaged students and improve overall academic performance in Italian universities.","Graziosi, Grazia; Sneyers, Eline; Agasisti, Tommaso; De Witte, Kristof",2021,,10.1080/1360080X.2020.1737343,https://research.ebsco.com/plink/99173c0e-6657-301b-b643-82ed102ab9d1,JOUR,Educational Finance; Financial Aid; Higher Education; Research Institutions; Returns to Education; Education: Government Policy,Yes,"Title/abstract indicate eligible HE students, direct financial support, eligible student outcomes, and a credible counterfactual design.",support: mentions need-based grants; outcome: mentions academic performance; design: mentions propensity score,,90,No,1882520,No
RIS_0003,Financial support differentially aids retention of students from households with lower incomes: a UK case study,"Around the world each year, large sums of money are expended in helping students access higher education institutions (HEIs), but there is remarkably little evidence to show whether this investment is effective or not. Here we use data from a UK university to investigate the relationship between financial support and the continuation of students beyond their first year of study. As a result of changing scholarship policies over the course of three years, a natural experiment was created that allowed us to investigate the effect of financial support on the rates of withdrawal of students from households with different incomes. Controlling for multiple demographic and attainment factors (age, gender, ethnic grouping, disability, nationality, household income, prior educational attainment, and local Higher Education participation rates), the data suggest that scholarships improved student retention, but principally for those students from households with low and intermediate incomes. Interestingly, the value of the scholarships, which varied from £500 to £3,000, did not have a measurable effect on withdrawal. We also found that some students who appeared to be eligible for a scholarship and would likely have benefited from it did not receive one, and we discuss the reasons why this might be so. These results have important implications for scholarship policies in Higher Education internationally; to maximise impact, scholarships should be awarded to those most in financial need.","Moores, Elisabeth; Burgess, Adrian P",2023,Studies in Higher Education,https://doi.org/10.1080/03075079.2022.2125950,https://www.proquest.com/docview/2754651663?accountid=9902&bdid=150313&_bd=9dFM66dxNc9XsLZI3uIF0v6uZaQ%3D,JOUR,,Yes,"Title/abstract indicate eligible HE students, direct financial support, eligible student outcomes, and a credible counterfactual design.",support: mentions scholarship; outcome: mentions retention; design: mentions natural experiment,,90,No,,No
RIS_0004,FROM HUMAN CAPITAL TO MARGINALIZED OTHER: A SYSTEMATIC REVIEW OF DIASPORA AND INTERNATIONALIZATION IN HIGHER EDUCATION,"The proliferation of diasporas has influenced the nature of internationalization in many higher education (HE) systems and institutions, especially in terms of academic and student mobility/migration. Through a systematic review of the academic literature, I critically analyze the widespread uses of and approaches to ‘diaspora’ in HE research and its relationship to internationalization. I identify two major areas of studies and corresponding approaches to diaspora: one which frames diaspora as human capital and focusses on the role of the state; and the other which frames diaspora as marginalized other and social construct. I argue that ‘diaspora’ in HE studies tends to be ambiguous, under-defined, under-theorized, and fragmented. I further argue that it is loosely connected to internationalization discourses, despite its clear connections. I posit that this is because ‘internationalization’ is associated with humanitarianism, cosmopolitanism, global citizenship and the de-centering of states, nations, ethnicities, religions, and particularistic identities. Diaspora is often associated with these latter categories and thus, is shunned. I conclude by suggesting that the blending of (often conflictual) ideas, intentions, values and identities is precisely what diaspora engages in and that the conditions of our increasingly mobile and (inter)connected world necessitate a (re)thinking of diaspora in HE scholarship.","Bamberger, Annette",2022,British Journal of Educational Studies,https://doi.org/10.1080/00071005.2021.1925084,https://www.proquest.com/docview/2691685925?accountid=9902&bdid=150313&_bd=t4H88apTVi7oN2lhX47pjGl1sAQ%3D,JOUR,,No,Review article rather than an eligible primary impact study.,The abstract describes a review of existing literature.,Ineligible study design,95,No,,No
RIS_0005,Rethinking the Cooling Out Hypothesis for the 21st Century: The Impact of Financial Aid on Students’ Educational Goals,"Background:Most community college students from low-income families have ambitious educational degree goals, but only a small fraction attains them. For many decades, sociologists have primarily attributed this problem to a cooling out process in which college practitioners diminish students’ educational ambitions using academic reorientation processes that encourage the least-promising students to lower their degree goals. The cooling out explanation focuses exclusively on the actions of institutional community college actors rather than other factors affecting student decisions and thus has been used to vilify community colleges as engines of inequality.Objective:This article addresses an alternative hypothesis, considering whether student financial aid, the ubiquitous and multifaceted system that community college actors mainly do not control, influences students’ educational goals.Method and Results:Using data from an experimental study of need-based financial aid in Wisconsin, I find that a private grant program, which triggered a repackaging of students’ financial aid awards, decreased the educational degree aspirations and expectations of 2-year college students, on average.Contributions and Implications:Although counterintuitive, this finding is consistent with the idea that the complex manner in which aid is delivered creates confusion and uncertainty about the actual costs of college. While these lowered degree goals persisted over time, they did not affect degree attainment rates, suggesting students’ expectations may be more malleable and less consequential than prior research suggests. This article demonstrates that the observed cooling out phenomenon is not necessarily the result of a meritocratic sorting system and involves processes previously neglected by sociological theory. A more robust model of college choices is needed.","Broton, Katharine M",2019,Community College Review,https://doi.org/10.1177/0091552118820449,https://www.proquest.com/docview/2170130559?accountid=9902&bdid=150313&_bd=z7SkUFP%2BnSTQDtgqj%2FdujAtXtyQ%3D,JOUR,,Uncertain,"Direct financial support is mentioned, but title/abstract do not provide enough information on population, outcome, timing, or design.",support: mentions grant,Insufficient information,50,Yes,,No
RIS_0006,Seeking STEM: The Causal Impact of Need-Based Grant Aid on Undergraduates’ Field of Study,"Increasing the number of science, technology, engineering, and mathematics (STEM) degrees is a national priority and one way to promote the socioeconomic mobility of students from low-income families. Prior research examining why students do not complete STEM majors often points to students’ lack of academic preparation, preferences for non-STEM majors, or lack of information about the value of STEM. This paper uses a randomized experiment to investigate an alternative explanation, that some students lack the financial resources to succeed in demanding majors. In a control group of university students from low-income families, 18.6% of students had declared a STEM major by their third year of college. In a treatment group who were offered additional need-based grant aid upon entering college, 26.5% of students declared a STEM major. Among students who had graduated within six years after entering college, 12.2% of control group graduates had earned a STEM degree compared to 20.2% of treatment group students. Need-based grants thus appear to have the potential to increase the share of low-income students studying and earning degrees in STEM.","Anderson, Drew M; Broton, Katharine M; Monaghan, David B",2023,The Journal of Higher Education,https://doi.org/10.1080/00221546.2023.2209003,https://www.proquest.com/docview/2879458856?accountid=9902&bdid=150313&_bd=EWMXiEN2Wtr4H8F3hSbrNrQMsdM%3D,JOUR,,Uncertain,"Financial support and possible causal design are present, but eligible post-entry outcomes are unclear.",support: mentions need-based grant; outcome: mentions randomized,Unclear eligible outcome,58,Yes,,No
RIS_0007,"Tuition, Targeting, and Tradeoffs: A Conjoint Analysis of Americans’ Preferences over the Design of Higher Education Subsidies","Over the past three decades, political candidates and elected policymakers have advanced a wide variety of publicly funded tuition-subsidy programs to improve college access and -affordability. These college-aid programs employ different subsidy instruments, target different types of students, draw from different funding sources, and come with different strings attached. This study assesses Americans’ preferences over the multidimensional design of such higher education subsidies using a conjoint survey experiment with randomized policy proposals that vary in their subsidy instruments, target populations, eligibility requirements, and funding arrangements. The results suggest that fiscal tradeoffs loom large in Americans’ support for higher education programs, but elements of subsidy design matter as well: respondents (particularly Republicans) prefer aid packaged as tax credits; strongly means-tested programs receive greater support than broader, income-based aid (an effect driven by Democrats); and subsidies targeted to community college students enjoy substantial, bipartisan support. The study’s results shed light on differences in extant tuition-subsidy programs’ popular support and provide empirical grounding for debates over the prudent design of college aid by estimating tradeoffs that programs confront between efficiently targeting marginal students and securing broad popular support.","Imlay, Samuel J",2021,The Journal of Higher Education,https://doi.org/10.1080/00221546.2021.1897965,https://www.proquest.com/docview/2574587516?accountid=9902&bdid=150313&_bd=UH3gOnztg8VYBft1%2BbBT7lfBbvY%3D,JOUR,,No,No eligible post-entry financial or in-kind support intervention is identifiable.,"The title and abstract do not describe grants, bursaries, scholarships, hardship funds, waivers, or comparable direct support.",No eligible financial support intervention,82,No,,No
RIS_0008,The effect on science of government cuts to doctoral scholarships,"The ‘there are too many PhDs’ debate lacks evidence on the consequences of reducing the number of PhDs. This paper provides causal estimates of the impact on STEM students of cuts to government-funded PhD scholarships based on a unique quasi-natural experiment. I use data on the staggered cuts made by the Hungarian Government between 2010 and 2021 to expand Orbàn’s political influence over the university system. The political aim of these cuts ensures that they are exogenous to the economic cycle and universities’ evolution. The analysis uses the enrolment records of all doctoral students in Hungary and employs a generalized difference-in-differences approach. The results show that a severe cut to PhD scholarships increases the chance of PhD completion by 1 percentage point (pp) but that this positive effect is countered by a persistent and growing reduction in female and first-generation student entry rates. This suggests that while they might result in improved training and/or a more efficient education system, cuts to scholarships will come at the expense of inclusion. Additionally, the findings indicate that the negative impact on scientific production is temporary, with doctoral student productivity decreasing by 2pp and the quality of scientific output declining by 0.2–1pp. My results highlight these tradeoffs. Cuts to funding that reduce the numbers of PhD scholarships might increase efficiency in terms of student attainment but are likely to reduce inclusion, scientific production, and research quality.","Rossello, Giulia",2026,Studies in Higher Education,https://doi.org/10.1080/03075079.2025.2484656,https://www.proquest.com/docview/3308984172?accountid=9902&bdid=150313&_bd=7INsk2hmEsankV5Mu6cPAqtrECg%3D,JOUR,,No,Population is outside eligible undergraduate higher education students.,"The title or abstract focuses on doctoral, graduate, school-level, or prospective students.",Ineligible population,88,No,,No
RIS_0009,College Enrollment and Mandatory FAFSA Applications: Evidence from Louisiana,"I estimate the impact of a Louisiana state policy that mandated Free Application for Federal Student Aid (FAFSA) applications as a high school graduation requirement. I find significant increases in FAFSA completion rates (19 percentage points), and my estimates imply an increase of 1-2 percentage points in college enrollment. There is suggestive evidence that these effects were more concentrated among lower-income students/schools, and merit-based state financial aid applications also increased. The design of this mandate implies that pushing students into action may be more effective than informational nudges and that localized support systems such as counselors are important for the success of a top-down policy.","Deneault, Christa",2023,,10.1257/pol.20210360,https://research.ebsco.com/plink/aefc8d3d-806a-3bdf-bf89-a3d1c67aa5a5,JOUR,"Micro-Based Behavioral Economics: Role and Effects of Psychological, Emotional, Social, and Cognitive Factors on Decision Making; State and Local Government: Health; Education; Welfare; Public Pensions; Analysis of Education; Educational Finance; Financial Aid; Higher Education; Research Institutions; Education: Government Policy",No,Population is outside eligible undergraduate higher education students.,"The title or abstract focuses on doctoral, graduate, school-level, or prospective students.",Ineligible population,88,No,2053376,No
RIS_0010,"Not Whether, but Where? Pell Grants and College Choices","Pell grants are the largest financial aid vehicle in the United States, and yet, their role in shaping students' college choices is not clear. Drawing on the enrollment decisions of four cohorts of Tennessee high school graduates and quasi-experimental Pell eligibility derived from federal formulas, we find little evidence that marginal Pell eligibility affects whether or where students enroll in college. Inframarginal estimates suggest that students sort into colleges with 11.6 cents higher tuition per dollar of Pell aid, although other measures of college quality do not significantly improve over the counterfactual. An investigation into mechanisms that might be muting student responses to Pell favors the application process itself over grant size or institutional aid flexibility.","Carruthers, Celeste K.; Welch, Jilleah G.",2019,,10.1016/j.jpubeco.2018.11.006,https://research.ebsco.com/plink/db71d753-9905-3d7f-b014-e2c7d44be345,JOUR,Educational Finance; Financial Aid; Higher Education; Research Institutions,No,Population is outside eligible undergraduate higher education students.,"The title or abstract focuses on doctoral, graduate, school-level, or prospective students.",Ineligible population,88,No,1766937,No
